callsign,flowntime[s],flowndistance[NM],fuel[kg],CO2[t],H2O[t],Soot[t],SOx[t],NOx[t],CO[t],HC[t]
NAX4PF,42581.0,3792.93937777,21472.410048054304,67.85281575185189,26.411064359106724,0.0006441723014416369,0.025766892057665174,0.32068445684381247,0.04311255928048132,0.0046967950801209465
BAW6B,49598.0,4741.57524215,27539.28264181614,87.02413314814041,33.87331764943397,0.0008261784792544921,0.03304713917017999,0.4118683455426302,0.054679559496423856,0.005545263231437662
VIR42X,50865.0,4721.86807645,27356.688254295655,86.44713488357469,33.64872655278372,0.0008207006476288702,0.03282802590515453,0.41074684787860216,0.05429593343639822,0.0055995395951167
BAW274,52354.0,4611.98469526,27618.591799975363,87.27475008792167,33.97086791396964,0.0008285577539992524,0.03314231015997025,0.39513175544771184,0.056552041033970775,0.005263836507100517
BAW268,54115.0,4820.32390547,28237.90631770195,89.23178396393985,34.73262477077417,0.0008471371895310703,0.033885487581242935,0.40787640728138586,0.058259472339582154,0.005688026093871326
DLH459,58009.0,5197.45730426,29737.602577041464,93.97082414345113,36.5772511697607,0.0008921280773112437,0.03568512309244964,0.4258154313821786,0.06329737453375064,0.006156640030141004
BAW8C,52325.0,4184.83387473,25718.13434193048,81.26930452050165,31.633305240574902,0.0007715440302579235,0.03086176121031676,0.3716060307871416,0.051809515863622445,0.004804959482265974
THY6320,59030.0,5111.6897627,30932.498904507497,97.7466965382427,38.04697365254385,0.0009279749671352266,0.037118998685408404,0.4802811605808498,0.05475745438981078,0.005512565967826216
FDX21,76850.0,4131.17197372,35459.69030577397,112.05262136624744,43.61541907610275,0.0010637907091732353,0.042551628366929176,0.45510776972824046,0.08529368354624521,0.0069621412209840295
N990LT,86399.0,4359.97130362,38496.358481694315,121.64849280215287,47.35052093248374,0.0011548907544508063,0.04619563017803292,0.48129482710740834,0.12588644701287466,0.011582718529235845
TOM050,86399.0,5104.82817279,38254.65576158565,120.8847122066117,47.05322658675093,0.0011476396728475773,0.04590558691390332,0.4984883482140839,0.09299528190346638,0.008054550918917566
